experiment,iter,elapsed_seconds,elapsed_minutes,elapsed_hours,sec_per_iter,dir_name,t1,t2,t3,t4,t5,t6,avg,mean_repeat,mean_mscore,mean_map,mean_loc_err
Proxy lr1e-2 sl gradac32 dl5.0,10000,7749.569274187088,129.15948790311813,2.1526581317186357,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_10000_HPatchesV4.1,0.3,0.5571428571428572,0.65,0.7428571428571429,0.8071428571428572,0.8571428571428571,0.6523809523809524,0.6506778914871643,0.3421394936227713,0.7539348876815303,1.0362088472009494
Proxy lr1e-2 sl gradac32 dl5.0,11000,8524.526201605797,142.07543669342994,2.367923944890499,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_11000_HPatchesV4.1,0.29285714285714287,0.5357142857142857,0.6071428571428571,0.7428571428571429,0.8071428571428572,0.8714285714285714,0.6428571428571429,0.6498301617687141,0.3386778622349726,0.7450270415340632,1.0360979083376447
Proxy lr1e-2 sl gradac32 dl5.0,12000,9299.483129024506,154.99138548374177,2.5831897580623626,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_12000_HPatchesV4.1,0.32142857142857145,0.5214285714285715,0.5785714285714286,0.7285714285714285,0.7714285714285715,0.85,0.6285714285714287,0.6498479679717071,0.34004217329735764,0.7493676687342891,1.0352966292523302
Proxy lr1e-2 sl gradac32 dl5.0,13000,10074.440056443214,167.90733427405357,2.7984555712342263,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_13000_HPatchesV4.1,0.2571428571428571,0.5142857142857142,0.6142857142857143,0.75,0.7928571428571428,0.8642857142857143,0.6321428571428571,0.6497726368977895,0.3411074904600215,0.7509053368443575,1.034643408607144
Proxy lr1e-2 sl gradac32 dl5.0,14000,10849.396983861923,180.8232830643654,3.01372138440609,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_14000_HPatchesV4.1,0.2714285714285714,0.5285714285714286,0.65,0.7214285714285714,0.8071428571428572,0.8642857142857143,0.6404761904761905,0.6489625933282919,0.334944542757388,0.7448763533063184,1.0356935647111296
Proxy lr1e-2 sl gradac32 dl5.0,15000,11624.353911280632,193.7392318546772,3.228987197577953,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_15000_HPatchesV4.1,0.2785714285714286,0.55,0.6428571428571429,0.7571428571428571,0.8142857142857143,0.8714285714285714,0.6523809523809524,0.650303896939575,0.34324433561657514,0.7536112392565083,1.036725225485056
Proxy lr1e-2 sl gradac32 dl5.0,16000,12399.31083869934,206.655180644989,3.444253010749817,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_16000_HPatchesV4.1,0.30714285714285716,0.5571428571428572,0.6428571428571429,0.7071428571428572,0.8,0.85,0.6440476190476191,0.65086330027841,0.34502923529611523,0.758246109923774,1.0349278545644738
Proxy lr1e-2 sl gradac32 dl5.0,17000,13174.26776611805,219.57112943530083,3.6595188239216805,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_17000_HPatchesV4.1,0.29285714285714287,0.5642857142857143,0.6571428571428571,0.7357142857142858,0.8071428571428572,0.8642857142857143,0.6535714285714286,0.6496466095360035,0.34167334562717,0.7530720344393819,1.0358673852445806
Proxy lr1e-2 sl gradac32 dl5.0,18000,13949.224693536758,232.48707822561263,3.874784637093544,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_18000_HPatchesV4.1,0.29285714285714287,0.5428571428571428,0.6428571428571429,0.7357142857142858,0.7785714285714286,0.8642857142857143,0.6428571428571429,0.6496711772558098,0.3389661138302895,0.7475509614592266,1.0358150702753737
Proxy lr1e-2 sl gradac32 dl5.0,19000,14724.181620955467,245.40302701592447,4.090050450265408,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_19000_HPatchesV4.1,0.2714285714285714,0.5571428571428572,0.6428571428571429,0.7285714285714285,0.7714285714285715,0.85,0.636904761904762,0.6474986853751358,0.34352489670933456,0.7558776476624036,1.0348681301715252
