number,original_img1_entropy,original_img2_entropy,visual_img1_entropy,visual_img2_entropy,feature_img1_entropy,feature_img2_entropy
37,1.642816333885095,1.6664752675486394,1.6272650633548813,1.675732019352698,1.6706519579060664,1.6785556029950102
38,1.5795712866813594,1.744660255834893,1.5794440999550718,1.6870906265400205,1.47820998851561,1.6290044960856975
39,1.1873160931894964,1.6340291916192025,1.115065984092423,1.6766961325858132,1.1324163280062811,1.537987101111335
4,1.382361579791838,1.6963932714947414,1.469374718108098,1.7897838181370784,1.261908573287752,1.7473173511837339
40,1.9741928242333782,1.982364153697704,1.9379944199253716,1.9534575560028142,1.937559801050181,1.9697260707154993
41,1.8468064526932113,1.8609091365365609,1.8237229390487295,1.7461842249175632,1.8283642361366943,1.7877568652660214
42,1.6174928038177283,1.6988642431430327,1.7360423454544471,1.656765772171596,1.6782923198846258,1.6757463416591802
43,1.5125335868614087,1.716487640329428,1.5551374252545251,1.6879245711950452,1.3806382621218096,1.746181360074739
44,1.2953798196505835,1.5414409520674581,1.2222669235331434,1.486895226883155,1.116485596951347,1.6694790157332926
45,1.968315559461262,1.9437409337772305,1.949554345710963,1.9225643592507127,1.968558061948174,1.9394256860468122
46,1.876045754187113,1.7673323929209317,1.8548520440027527,1.7403190705356293,1.8792756547954605,1.753614358086139
47,1.7117734411940848,1.6816581529297658,1.6651962089351886,1.6822181962409204,1.6226810281285902,1.6683629269322053
48,1.675304791487645,1.7240638593471467,1.5839143804252633,1.6362978262220809,1.6992641766798315,1.6234294173015158
49,1.487816716395417,1.529248293031656,1.4383318472388456,1.6668756974238033,1.2860573368703552,1.583258459414428
5,2.0377035393918965,2.0432065084822275,2.0437982152020076,2.0569848164336193,2.053810507924231,2.056189997873313
50,1.9498822153356605,1.9159464309985896,1.9275959600663992,1.9022144557694938,1.954271682337772,1.9195231375494286
51,1.8398087117212398,1.6873962583254796,1.7793646136516472,1.6595075766386904,1.8172390653380297,1.6573726971716716
52,1.7240337597742252,1.419201437863737,1.6928138924871794,1.5413890737529563,1.766951702583371,1.5371633476775095
53,1.5128578919557465,1.4965315241464574,1.5965966694918368,1.5407022448632954,1.5747760036220135,1.498231100180067
54,1.4286157366128718,1.5854603228403938,1.2146871790096192,1.5814644986459327,1.23413919862398,1.423242619789554
55,1.9104491024572985,1.8976551141823128,1.8399906861432913,1.812135457839541,1.8474734224800882,1.8009617396542354
56,1.8607761639451246,1.7226912961870384,1.798283727309195,1.695561037838809,1.7963610710337794,1.6825485348635776
57,1.7589534508271245,1.6676737617660846,1.6810444020961866,1.6256199894494094,1.729624176878274,1.639797349547212
58,1.5122801395219831,1.6380618714819608,1.4315609272112733,1.598823111820889,1.4985463927376657,1.57785253838232
59,0.9244380798297818,1.6379037837288397,0.8386193827765303,1.4943427702806182,0.8968003140719185,1.4737310305274045
6,1.8636352959499183,1.7890984708037847,1.9066394814041483,1.7662983737832358,1.8814411364123904,1.7912062797362527
60,1.9559116255132434,1.9593476056862302,1.957214862806719,1.9628411932306458,1.9761643610820638,1.9816569002979376
61,1.8064218870006896,1.7074292367043378,1.807192713477856,1.684023178805658,1.8163649344737343,1.6923204271853352
62,1.4951292593896621,1.4646668152273628,1.550109715467501,1.5153936742687089,1.5781786298443254,1.5286079882880979
63,1.4816166244993316,1.6149869402867139,1.4680113413411215,1.6722240598815872,1.4585442512181697,1.7254325905974561
64,1.1633711748826006,1.6796478837507178,1.0850043284809796,1.7543197906983323,0.9368779699251171,1.519869383502901
65,2.0241347678875514,2.025133111587399,1.9768110746641472,1.984902081546624,2.0218484975395796,2.022345765295105
66,1.865554979815049,1.7735650583832323,1.8187703110811035,1.698973920759836,1.8117141780354957,1.759753926931966
67,1.6670100266001202,1.4239879127565174,1.4902598705698187,1.4367192383246807,1.5011201488710937,1.463655232604916
68,1.319705847033191,1.5270161791077348,1.2973960755106826,1.466573908721148,1.352811086044359,1.5000068417199115
69,1.515707952080666,1.6726254461442596,1.4708084763170644,1.695742534163565,0.9502705392302395,1.0549201679831388
7,1.577398650843284,1.7264752335749052,1.6263609011640532,1.7041525316406598,1.6284047690746641,1.7310144042968858
70,1.9907152059189759,2.0050120775602265,2.0392151164398564,2.0266467704121327,1.9675357779517266,1.9836519586375123
71,1.7270321172708836,1.6502204524438402,1.8714766887679073,1.6672786853342405,1.7809775141741058,1.6817817377002036
72,1.586764087902197,1.6474211281264324,1.6367776646192942,1.6339145124682757,1.5647700647456475,1.6575658378550933
73,1.5354910063682385,1.5644417510583764,1.6023519181430035,1.6191883943599215,1.5367692761263738,1.6572500443170697
74,0.8324075743444932,1.244672538166766,1.1345725477185769,1.4658586321507228,0.9514560170730963,1.3562616894457613
75,1.9586071163351682,1.943625863622394,1.910015428698527,1.916918653386963,1.9430591660339658,1.9296814189578124
76,1.6568038567314731,1.606866430532884,1.774864019133247,1.5591230298637981,1.6540061770456718,1.5242915182898633
77,1.4760605330453023,1.6082849543253759,1.7154167869027592,1.6381454632189287,1.656865451396905,1.5997346891070523
78,1.3964020132503032,1.4888509435483055,1.6319564694152624,1.520320866081026,1.7620324631965936,1.70496456679455
79,1.3321790402060891,1.6094379124280396,1.3862943611148424,0.9743147528663527,1.4270610433756772,1.0608569471550147
8,1.4051891823474363,1.6725792217635655,1.351461598611317,1.6808242870166596,1.3747445365056534,1.6920561683219966
80,2.030596159691699,2.000654506226448,2.0309788764138568,2.003790873390188,2.0193042252653033,2.0005000402247473
81,1.8540138024023995,1.6896986448169773,1.8549334137330096,1.7084506162628692,1.886900470778325,1.719238465547818
82,1.640524852530068,1.6319154033533447,1.5337789817584468,1.6323796105113746,1.5633740941661367,1.636556865779927
83,1.5337076458244803,1.6260932230947869,1.5364706007754243,1.6218304208955892,1.5104190327743772,1.6501491489876314
84,1.2742107778633964,1.4757280737050977,1.3917397695133094,1.6631355916081312,1.265856751868717,1.5247073930241033
9,1.0059736575263933,1.5660255124503586,1.2982281880308348,1.762169622563918,1.2300379818346596,1.7000264278058124
