seq_name,H_1_2,H_1_3,H_1_4,H_1_5,H_1_6
wl_brownflora,0.12396615026968172,0.1267138329825048,0.23052381271072317,0.16779359883453063,0.09088691498302494
wl_decayedbamboo,0.15830574921251028,0.1958052450794656,0.1807044691278121,0.20257533283534457,0.11802921019963375
wl_doodlebook,0.1305713799338695,0.19148542187827328,0.18680560574574723,0.2070548594536472,0.11366777227745817
wl_giolla,0.09776254147392625,0.08630598009667169,0.15815124480499074,0.14278437897082538,0.08517043095627727
wl_grave,0.1327846242781271,0.17594264365142323,0.14308907826990996,0.20280866799560282,0.07385745288542485
wl_heron,0.11859170973949029,0.16067271299533842,0.16316870664416616,0.20992073088897323,0.08787280369076313
wl_houseruin,0.14224679417172206,0.2604005148497104,0.20169821109949654,0.27569737819951884,0.06809097389424354
wl_houseruin2,0.14023490516193152,0.22067820109801883,0.1645915107154487,0.24137759780924856,0.08704694282352207
wl_houseruin3,0.1337894525289338,0.18150632660827593,0.1777979634812878,0.20962692284416845,0.08108044638799397
wl_kiddrawing,0.11069269980825705,0.1340399849756542,0.20003732789922296,0.17799602042125884,0.05855597731863568
wl_kiddrawlgbt,0.14108012360486585,0.1613808678056015,0.17857556589117554,0.16606458288677162,0.11429916473275349
wl_lgbtwalk,0.13529889255458644,0.15965734025906128,0.18034027640171527,0.18762813837125067,0.05770438650103697
wl_makeup,0.10553590253189309,0.15703921050006386,0.15672043308207695,0.18385104993225185,0.07302510400342865
wl_nebula,0.14300893565205214,0.13816839543647597,0.1932888845643716,0.18044393174199466,0.040405072111987995
wl_okama,0.0989902287431734,0.08551534987572254,0.15867746923619336,0.12134051074625583,0.07600193285287432
wl_oldshoes,0.1603425080099744,0.18924662028838976,0.19132195344138542,0.20311819873662235,0.09456707130126336
wl_omanga1,0.14660599459881662,0.1233635989957745,0.183604970237268,0.24683458900819993,0.12165956824263818
wl_omanga2,0.1161952023867711,0.1304622171460054,0.13671318945774552,0.2015842596550463,0.1311670536525937
wl_rebirth,0.13066368861139607,0.0765390725483179,0.16151834333210205,0.15462401211879223,0.10405690008341655
wl_sponge,0.10337623244199301,0.1910387121697045,0.2449610490136964,0.2203510302772265,0.07479453826077713
wl_sunset,0.11902775642901008,0.11412369626153251,0.1801393546235255,0.1958302857079683,0.0603301591414472
wl_thep,0.10710624168140762,0.1546416964673272,0.17161248818718727,0.1744269792919639,0.1444910352909765
wl_train,0.40182254565193154,0.28226397989799046,0.36300191646589897,0.24723512106284473,0.3304023295626381
wl_waterfall,0.13639781587470565,0.15598775547223115,0.18699891276872851,0.20986848140764014,0.08384021325953002
