seq_name,H_1_2,H_1_3,H_1_4,H_1_5,H_1_6
ll-chinesefamily,0.1984165072437024,0.19914492593616978,0.2630554084100223,0.28178641667727894,0.13653044250738233
ll_abstract1,0.08787279057241774,0.10313651259516114,0.21838810135008477,0.20586770379849684,0.09894475265225312
ll_agrirobotwallart,0.20297279958128056,0.14615175127890503,0.2499398590127603,0.19298640466396863,0.14821866161871536
ll_carnivalwallart,0.2101624023271373,0.2174121411101255,0.2316037134571929,0.28201874892724377,0.09636953841729332
ll_chulamap,0.08653947653743674,0.24141568380179787,0.12106411560580844,0.31158713581923747,0.2297419829999089
ll_gogglegiantwallart,0.15156300790056046,0.22605286748087322,0.20685119219951584,0.2150977232883964,0.1151475116299771
ll_greenhell,0.148503727209053,0.1327012453521245,0.20758245035720352,0.2096452749250097,0.07271876777365859
ll_iam,0.13299287307898613,0.13026155742148918,0.158988446838241,0.1778736579685069,0.08447142326931989
ll_innovationwallart,0.17591234630044308,0.22047890028338432,0.19867779437249422,0.21834460997519378,0.06869615504974289
ll_leavesdiffuse,0.12824538730038335,0.13909046988594956,0.2181872525042815,0.19950262529179827,0.14252192083353454
ll_meowtowel,0.1387292428106321,0.1458318108327543,0.19035029007004742,0.2699274229524485,0.13500864954004085
ll_omanga1,0.11077362308701245,0.12181937781764418,0.3027910595053285,0.2618548030798843,0.10458120623011796
ll_omanga2,0.1326857641320872,0.13511462873607252,0.27487460953852805,0.24880017736173804,0.13413736067570145
ll_pingpong,0.3589120898265097,0.20789255785926544,0.26788188063316426,0.26193271308563604,0.1549584717871922
ll_scaryfish,0.13771505999177164,0.15222723589705334,0.19726680802975163,0.21880854972109715,0.159405622193939
ll_skytrainwallart,0.19922841764608934,0.24849946061263345,0.25765205132503155,0.20978823962110282,0.08603624911913617
ll_takegrafiti,0.22144287762232792,0.2787507002698696,0.22847407696251912,0.2780882939235435,0.19607881789081455
