seq_name,H_1_2,H_1_3,H_1_4,H_1_5,H_1_6
sl_agrirobot,0.1735183915841706,0.16130351281385827,0.2218072057504961,0.2000176777580024,0.07198589478573118
sl_carnival,0.19220154974108883,0.16955955533909584,0.24479233146675206,0.17867967461789752,0.08534058242776826
sl_chineseposter,0.1373738027981786,0.13873443560166604,0.21951600884176567,0.20757628080005747,0.09499471046945374
sl_giantrobot,0.25607911594104504,0.24588140993042507,0.26836013336803627,0.26138794279431266,0.06988443206352814
sl_grafiti,0.15776610027168267,0.33484100573940934,0.3577340857871293,0.37524874997067964,0.13391266298550114
sl_innovation,0.18568849930830683,0.2603680330973026,0.2271906904153281,0.25134850096105266,0.09896383525094693
sl_mangkorn,0.24773260240988226,0.21784521659967432,0.2517931115151865,0.27683004343854584,0.06076140934510582
sl_mario,0.23678305486735945,0.31224193350065715,0.31618480865125587,0.4536412178462046,0.19998254717054179
sl_mbk,0.18044432108534292,0.2244104593950932,0.30288921018981707,0.31950069296135747,0.1736799187137638
sl_newspaper,0.2565822499561882,0.23374010550751215,0.3154326577162986,0.37043524764608027,0.14530056688679327
sl_nua,0.14846660216746088,0.30674026512451885,0.18119048374737648,0.2474166084705078,0.16657691082326853
sl_skytrain,0.22668133354382808,0.196579914322503,0.2437993793200644,0.2150596372898657,0.06921150111249681
sl_sonic,0.14007041228014222,0.15888120720754625,0.1512823147255348,0.20231298927876348,0.17458635091763117
sl_sun,0.20132590660472324,0.18974667786182167,4.052510281544935,0.2924195603369558,0.14352265071274417
sl_tewada,0.17239349251713526,0.17227390260782763,0.20371278105069568,0.19559410916020023,0.06905517259727248
sl_thaidance,0.23214359338305857,0.24735626754944773,0.23468104266216963,0.2503969625817494,0.0862660671533891
sl_thaimario,0.21916416080420872,0.2446393629420098,0.22659010959514872,0.2472994275269329,0.05392027228558484
sl_yak,0.19140027046247737,0.19206736635307184,0.24495771287178453,0.24131463778379494,0.12380149798907639
